Sample Name,tnf_alpha_concentration_normalized,unit,il10_concentration_normalized,unit,ifn_gamma_concentration_normalized,unit,il5_concentration_normalized,unit,il6_concentration_normalized,unit,il12p70_concentration_normalized,unit,,
M9,0.034340834,picogram_per_milligram,0.372641805,picogram_per_milligram,0.013298824,picogram_per_milligram,0.144651799,picogram_per_milligram,1.562091925,picogram_per_milligram,3.680440093,picogram_per_milligram,,
M10,0.063239267,picogram_per_milligram,0.704953756,picogram_per_milligram,0.027750526,picogram_per_milligram,0.163680796,picogram_per_milligram,1.950470784,picogram_per_milligram,2.659761089,picogram_per_milligram,,
M19,0.068405383,picogram_per_milligram,0.651212687,picogram_per_milligram,0.030987086,picogram_per_milligram,0.199647128,picogram_per_milligram,1.769561051,picogram_per_milligram,5.02106321,picogram_per_milligram,,
M20,0.102432209,picogram_per_milligram,0.561552512,picogram_per_milligram,0.032948307,picogram_per_milligram,0.198416424,picogram_per_milligram,2.033371779,picogram_per_milligram,6.412437626,picogram_per_milligram,,
M29,0.048173082,picogram_per_milligram,0.552492563,picogram_per_milligram,0.0176894,picogram_per_milligram,0.075320276,picogram_per_milligram,0.927395103,picogram_per_milligram,4.166991122,picogram_per_milligram,,
M30,0.038710949,picogram_per_milligram,0.739682432,picogram_per_milligram,0.018215474,picogram_per_milligram,0.146868601,picogram_per_milligram,1.286476252,picogram_per_milligram,4.866552714,picogram_per_milligram,,
M39,0.062781738,picogram_per_milligram,0.748588155,picogram_per_milligram,0.022863353,picogram_per_milligram,0.129803588,picogram_per_milligram,1.413699533,picogram_per_milligram,3.45178008,picogram_per_milligram,,
M40,0.058814449,picogram_per_milligram,0.685096515,picogram_per_milligram,0.023566478,picogram_per_milligram,0.146428476,picogram_per_milligram,1.445575372,picogram_per_milligram,5.228641094,picogram_per_milligram,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,